#gene_id	transcript_id	sprot_Top_BLASTX_hit	RNAMMER	prot_id	prot_coords	sprot_Top_BLASTP_hit	Pfam	SignalP	TmHMM	eggnog	Kegg	gene_ontology_BLASTX	gene_ontology_BLASTP	gene_ontology_Pfam	transcript	peptide
TRINITY_DN92_c0_g1	TRINITY_DN92_c0_g1_i1	NHD2_ARATH^NHD2_ARATH^Q:269-45,H:342-416^58.667%ID^E:1.19e-23^RecName: Full=Sodium/proton antiporter 2 {ECO:0000303|PubMed:11500563};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis	.	.	.	.	.	.	.	.	KEGG:ath:AT1G49810	GO:0016021^cellular_component^integral component of membrane`GO:0015297^molecular_function^antiporter activity`GO:0006814^biological_process^sodium ion transport	.	.	.	.
TRINITY_DN7_c0_g1	TRINITY_DN7_c0_g1_i1	BET1L_DANRE^BET1L_DANRE^Q:268-32,H:26-106^40.741%ID^E:6.54e-11^RecName: Full=BET1-like protein;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi; Cypriniformes; Danionidae; Danioninae; Danio	.	.	.	.	.	.	.	.	KEGG:dre:445493	GO:0005829^cellular_component^cytosol`GO:0000138^cellular_component^Golgi trans cisterna`GO:0030173^cellular_component^integral component of Golgi membrane`GO:0031201^cellular_component^SNARE complex`GO:0005484^molecular_function^SNAP receptor activity`GO:0015031^biological_process^protein transport`GO:2000156^biological_process^regulation of retrograde vesicle-mediated transport, Golgi to ER`GO:0042147^biological_process^retrograde transport, endosome to Golgi	.	.	.	.
TRINITY_DN77_c0_g1	TRINITY_DN77_c0_g1_i1	KCS11_ARATH^KCS11_ARATH^Q:308-24,H:386-477^66.316%ID^E:1.17e-39^RecName: Full=3-ketoacyl-CoA synthase 11 {ECO:0000303|PubMed:18465198};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis	.	TRINITY_DN77_c0_g1_i1.p1	12-323[-]	KCS11_ARATH^KCS11_ARATH^Q:6-100,H:386-477^66.316%ID^E:8.66e-40^RecName: Full=3-ketoacyl-CoA synthase 11 {ECO:0000303|PubMed:18465198};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis	.	.	.	.	KEGG:ath:AT2G26640	GO:0016021^cellular_component^integral component of membrane`GO:0102336^molecular_function^3-oxo-arachidoyl-CoA synthase activity`GO:0102337^molecular_function^3-oxo-cerotoyl-CoA synthase activity`GO:0102338^molecular_function^3-oxo-lignoceronyl-CoA synthase activity`GO:0102756^molecular_function^very-long-chain 3-ketoacyl-CoA synthase activity`GO:0006633^biological_process^fatty acid biosynthetic process`GO:0009409^biological_process^response to cold`GO:0009416^biological_process^response to light stimulus	GO:0016021^cellular_component^integral component of membrane`GO:0102336^molecular_function^3-oxo-arachidoyl-CoA synthase activity`GO:0102337^molecular_function^3-oxo-cerotoyl-CoA synthase activity`GO:0102338^molecular_function^3-oxo-lignoceronyl-CoA synthase activity`GO:0102756^molecular_function^very-long-chain 3-ketoacyl-CoA synthase activity`GO:0006633^biological_process^fatty acid biosynthetic process`GO:0009409^biological_process^response to cold`GO:0009416^biological_process^response to light stimulus	.	.	.
TRINITY_DN11_c0_g1	TRINITY_DN11_c0_g1_i1	CUL3A_ARATH^CUL3A_ARATH^Q:1-654,H:520-732^46.818%ID^E:4.43e-57^RecName: Full=Cullin-3A;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis	.	TRINITY_DN11_c0_g1_i1.p1	1-654[+]	CUL3A_ARATH^CUL3A_ARATH^Q:1-218,H:520-732^46.818%ID^E:3.98e-57^RecName: Full=Cullin-3A;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis	.	.	.	.	KEGG:ath:AT1G26830	GO:0031461^cellular_component^cullin-RING ubiquitin ligase complex`GO:0005829^cellular_component^cytosol`GO:0031625^molecular_function^ubiquitin protein ligase binding`GO:0004842^molecular_function^ubiquitin-protein transferase activity`GO:0009911^biological_process^positive regulation of flower development`GO:0016567^biological_process^protein ubiquitination`GO:0009639^biological_process^response to red or far red light`GO:0006511^biological_process^ubiquitin-dependent protein catabolic process	GO:0031461^cellular_component^cullin-RING ubiquitin ligase complex`GO:0005829^cellular_component^cytosol`GO:0031625^molecular_function^ubiquitin protein ligase binding`GO:0004842^molecular_function^ubiquitin-protein transferase activity`GO:0009911^biological_process^positive regulation of flower development`GO:0016567^biological_process^protein ubiquitination`GO:0009639^biological_process^response to red or far red light`GO:0006511^biological_process^ubiquitin-dependent protein catabolic process	.	.	.
TRINITY_DN41_c0_g1	TRINITY_DN41_c0_g1_i1	AMT2_DICDI^AMT2_DICDI^Q:12-302,H:266-362^41.237%ID^E:6.75e-21^RecName: Full=Ammonium transporter 2;^Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Dictyostelia; Dictyosteliales; Dictyosteliaceae; Dictyostelium	.	TRINITY_DN41_c0_g1_i1.p1	3-305[+]	AMT2_DICDI^AMT2_DICDI^Q:4-100,H:266-362^41.237%ID^E:6.08e-21^RecName: Full=Ammonium transporter 2;^Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Dictyostelia; Dictyosteliales; Dictyosteliaceae; Dictyostelium	.	.	.	.	KEGG:ddi:DDB_G0277889	GO:0031164^cellular_component^contractile vacuolar membrane`GO:0036020^cellular_component^endolysosome membrane`GO:0005887^cellular_component^integral component of plasma membrane`GO:0030670^cellular_component^phagocytic vesicle membrane`GO:0005886^cellular_component^plasma membrane`GO:0008519^molecular_function^ammonium transmembrane transporter activity`GO:0072488^biological_process^ammonium transmembrane transport`GO:0015696^biological_process^ammonium transport`GO:0007588^biological_process^excretion	GO:0031164^cellular_component^contractile vacuolar membrane`GO:0036020^cellular_component^endolysosome membrane`GO:0005887^cellular_component^integral component of plasma membrane`GO:0030670^cellular_component^phagocytic vesicle membrane`GO:0005886^cellular_component^plasma membrane`GO:0008519^molecular_function^ammonium transmembrane transporter activity`GO:0072488^biological_process^ammonium transmembrane transport`GO:0015696^biological_process^ammonium transport`GO:0007588^biological_process^excretion	.	.	.
TRINITY_DN30_c0_g1	TRINITY_DN30_c0_g1_i1	PLSP1_ARATH^PLSP1_ARATH^Q:25-297,H:188-278^53.846%ID^E:1.76e-28^RecName: Full=Chloroplast processing peptidase;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis	.	TRINITY_DN30_c0_g1_i1.p1	1-315[+]	PLSP1_ARATH^PLSP1_ARATH^Q:9-99,H:188-278^53.846%ID^E:1.69e-28^RecName: Full=Chloroplast processing peptidase;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis	.	.	.	.	KEGG:ath:AT3G24590	GO:0009507^cellular_component^chloroplast`GO:0009941^cellular_component^chloroplast envelope`GO:0009535^cellular_component^chloroplast thylakoid membrane`GO:0005887^cellular_component^integral component of plasma membrane`GO:0009526^cellular_component^plastid envelope`GO:0055035^cellular_component^plastid thylakoid membrane`GO:0008233^molecular_function^peptidase activity`GO:0004252^molecular_function^serine-type endopeptidase activity`GO:0051604^biological_process^protein maturation`GO:0006465^biological_process^signal peptide processing`GO:0010027^biological_process^thylakoid membrane organization	GO:0009507^cellular_component^chloroplast`GO:0009941^cellular_component^chloroplast envelope`GO:0009535^cellular_component^chloroplast thylakoid membrane`GO:0005887^cellular_component^integral component of plasma membrane`GO:0009526^cellular_component^plastid envelope`GO:0055035^cellular_component^plastid thylakoid membrane`GO:0008233^molecular_function^peptidase activity`GO:0004252^molecular_function^serine-type endopeptidase activity`GO:0051604^biological_process^protein maturation`GO:0006465^biological_process^signal peptide processing`GO:0010027^biological_process^thylakoid membrane organization	.	.	.
TRINITY_DN62_c0_g1	TRINITY_DN62_c0_g1_i1	HELLS_HUMAN^HELLS_HUMAN^Q:240-10,H:681-757^58.442%ID^E:7.55e-27^RecName: Full=Lymphoid-specific helicase;^Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini; Catarrhini; Hominidae; Homo	.	.	.	.	.	.	.	.	KEGG:hsa:3070	GO:0000775^cellular_component^chromosome, centromeric region`GO:0005634^cellular_component^nucleus`GO:0005721^cellular_component^pericentric heterochromatin`GO:0005524^molecular_function^ATP binding`GO:0003682^molecular_function^chromatin binding`GO:0004386^molecular_function^helicase activity`GO:0007049^biological_process^cell cycle`GO:0051301^biological_process^cell division`GO:0006306^biological_process^DNA methylation`GO:0006346^biological_process^DNA methylation-dependent heterochromatin assembly`GO:0046651^biological_process^lymphocyte proliferation`GO:0010216^biological_process^maintenance of DNA methylation`GO:0007275^biological_process^multicellular organism development`GO:0031508^biological_process^pericentric heterochromatin assembly	.	.	.	.
TRINITY_DN38_c0_g1	TRINITY_DN38_c0_g1_i1	.	.	TRINITY_DN38_c0_g1_i1.p1	2-598[-]	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN35_c0_g1	TRINITY_DN35_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN13_c0_g1	TRINITY_DN13_c0_g1_i1	ILV5_PEA^ILV5_PEA^Q:663-1,H:312-539^59.649%ID^E:5.35e-91^RecName: Full=Ketol-acid reductoisomerase, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; 50 kb inversion clade; NPAAA clade; Hologalegina; IRL clade; Fabeae; Pisum	.	TRINITY_DN13_c0_g1_i1.p2	1-618[-]	ILV5_PEA^ILV5_PEA^Q:1-206,H:327-539^58.685%ID^E:7.7e-82^RecName: Full=Ketol-acid reductoisomerase, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; 50 kb inversion clade; NPAAA clade; Hologalegina; IRL clade; Fabeae; Pisum	.	.	.	.	.	GO:0009507^cellular_component^chloroplast`GO:0004455^molecular_function^ketol-acid reductoisomerase activity`GO:0046872^molecular_function^metal ion binding`GO:0009097^biological_process^isoleucine biosynthetic process`GO:0009099^biological_process^valine biosynthetic process	GO:0009507^cellular_component^chloroplast`GO:0004455^molecular_function^ketol-acid reductoisomerase activity`GO:0046872^molecular_function^metal ion binding`GO:0009097^biological_process^isoleucine biosynthetic process`GO:0009099^biological_process^valine biosynthetic process	.	.	.
TRINITY_DN48_c0_g1	TRINITY_DN48_c0_g1_i1	PSB7B_ARATH^PSB7B_ARATH^Q:22-474,H:33-183^70.199%ID^E:9.22e-74^RecName: Full=Proteasome subunit beta type-7-B;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis	.	TRINITY_DN48_c0_g1_i1.p1	1-474[+]	PSB7B_ARATH^PSB7B_ARATH^Q:8-158,H:33-183^70.199%ID^E:8.29e-74^RecName: Full=Proteasome subunit beta type-7-B;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliopsida; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis	.	.	.	.	KEGG:ath:AT5G40580	GO:0005737^cellular_component^cytoplasm`GO:0005634^cellular_component^nucleus`GO:0009536^cellular_component^plastid`GO:0000502^cellular_component^proteasome complex`GO:0005839^cellular_component^proteasome core complex`GO:0019774^cellular_component^proteasome core complex, beta-subunit complex`GO:0004175^molecular_function^endopeptidase activity`GO:0004298^molecular_function^threonine-type endopeptidase activity`GO:0010498^biological_process^proteasomal protein catabolic process`GO:0010499^biological_process^proteasomal ubiquitin-independent protein catabolic process`GO:0043161^biological_process^proteasome-mediated ubiquitin-dependent protein catabolic process	GO:0005737^cellular_component^cytoplasm`GO:0005634^cellular_component^nucleus`GO:0009536^cellular_component^plastid`GO:0000502^cellular_component^proteasome complex`GO:0005839^cellular_component^proteasome core complex`GO:0019774^cellular_component^proteasome core complex, beta-subunit complex`GO:0004175^molecular_function^endopeptidase activity`GO:0004298^molecular_function^threonine-type endopeptidase activity`GO:0010498^biological_process^proteasomal protein catabolic process`GO:0010499^biological_process^proteasomal ubiquitin-independent protein catabolic process`GO:0043161^biological_process^proteasome-mediated ubiquitin-dependent protein catabolic process	.	.	.
TRINITY_DN61_c0_g1	TRINITY_DN61_c0_g1_i1	RL7_CANGA^RL7_CANGA^Q:479-3,H:56-214^63.522%ID^E:8.32e-76^RecName: Full=60S ribosomal protein L7;^Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Nakaseomyces; Nakaseomyces/Candida clade	.	TRINITY_DN61_c0_g1_i1.p1	3-479[-]	RL7_CANGA^RL7_CANGA^Q:1-159,H:56-214^63.522%ID^E:7.49e-76^RecName: Full=60S ribosomal protein L7;^Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Nakaseomyces; Nakaseomyces/Candida clade	.	.	.	.	KEGG:cgr:CAGL0G09130g	GO:0022625^cellular_component^cytosolic large ribosomal subunit`GO:0003735^molecular_function^structural constituent of ribosome`GO:0000463^biological_process^maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	GO:0022625^cellular_component^cytosolic large ribosomal subunit`GO:0003735^molecular_function^structural constituent of ribosome`GO:0000463^biological_process^maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	.	.	.
TRINITY_DN20_c0_g1	TRINITY_DN20_c0_g1_i1	FIS1_DEBHA^FIS1_DEBHA^Q:300-25,H:24-115^28.261%ID^E:1.66e-07^RecName: Full=Mitochondrial fission 1 protein;^Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; Debaryomyces	.	TRINITY_DN20_c0_g1_i1.p2	1-306[-]	FIS1_DEBHA^FIS1_DEBHA^Q:3-94,H:24-115^28.261%ID^E:1.5e-07^RecName: Full=Mitochondrial fission 1 protein;^Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; Debaryomyces	.	.	.	.	KEGG:dha:DEHA2F13552g	GO:0016021^cellular_component^integral component of membrane`GO:0005741^cellular_component^mitochondrial outer membrane`GO:0005777^cellular_component^peroxisome`GO:0000266^biological_process^mitochondrial fission`GO:0016559^biological_process^peroxisome fission`GO:0090141^biological_process^positive regulation of mitochondrial fission	GO:0016021^cellular_component^integral component of membrane`GO:0005741^cellular_component^mitochondrial outer membrane`GO:0005777^cellular_component^peroxisome`GO:0000266^biological_process^mitochondrial fission`GO:0016559^biological_process^peroxisome fission`GO:0090141^biological_process^positive regulation of mitochondrial fission	.	.	.
TRINITY_DN67_c0_g1	TRINITY_DN67_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN67_c0_g1	TRINITY_DN67_c0_g1_i2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN12_c0_g1	TRINITY_DN12_c0_g1_i1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
TRINITY_DN45_c0_g1	TRINITY_DN45_c0_g1_i1	HEL1_SCHPO^HEL1_SCHPO^Q:434-3,H:263-403^43.448%ID^E:1.24e-37^RecName: Full=E3 ubiquitin-protein ligase dbl4 {ECO:0000250|UniProtKB:P36113, ECO:0000305};^Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Schizosaccharomycetes; Schizosaccharomycetales; Schizosaccharomycetaceae; Schizosaccharomyces	.	TRINITY_DN45_c0_g1_i1.p1	3-434[-]	HEL1_SCHPO^HEL1_SCHPO^Q:1-144,H:263-403^43.448%ID^E:1.11e-37^RecName: Full=E3 ubiquitin-protein ligase dbl4 {ECO:0000250|UniProtKB:P36113, ECO:0000305};^Eukaryota; Fungi; Dikarya; Ascomycota; Taphrinomycotina; Schizosaccharomycetes; Schizosaccharomycetales; Schizosaccharomycetaceae; Schizosaccharomyces	.	.	.	.	KEGG:spo:SPAC328.02	GO:0005737^cellular_component^cytoplasm`GO:0005829^cellular_component^cytosol`GO:0005634^cellular_component^nucleus`GO:0035861^cellular_component^site of double-strand break`GO:0000151^cellular_component^ubiquitin ligase complex`GO:0031624^molecular_function^ubiquitin conjugating enzyme binding`GO:0061630^molecular_function^ubiquitin protein ligase activity`GO:0008270^molecular_function^zinc ion binding`GO:0036205^biological_process^histone catabolic process`GO:0016574^biological_process^histone ubiquitination`GO:0007127^biological_process^meiosis I`GO:0032436^biological_process^positive regulation of proteasomal ubiquitin-dependent protein catabolic process`GO:0000209^biological_process^protein polyubiquitination`GO:0006511^biological_process^ubiquitin-dependent protein catabolic process	GO:0005737^cellular_component^cytoplasm`GO:0005829^cellular_component^cytosol`GO:0005634^cellular_component^nucleus`GO:0035861^cellular_component^site of double-strand break`GO:0000151^cellular_component^ubiquitin ligase complex`GO:0031624^molecular_function^ubiquitin conjugating enzyme binding`GO:0061630^molecular_function^ubiquitin protein ligase activity`GO:0008270^molecular_function^zinc ion binding`GO:0036205^biological_process^histone catabolic process`GO:0016574^biological_process^histone ubiquitination`GO:0007127^biological_process^meiosis I`GO:0032436^biological_process^positive regulation of proteasomal ubiquitin-dependent protein catabolic process`GO:0000209^biological_process^protein polyubiquitination`GO:0006511^biological_process^ubiquitin-dependent protein catabolic process	.	.	.
